,rank-title,rank-sub,price,discount,selling_proposition,goods-title-link
90,Unranked(New),General Application,3.7,8,2000.0,"1 Pc Drain Mat, Coffee Machine Drain Mat,  Soft Diatom Water-Absorbent Quick-Drying Mat, Bar Counter No-Wash Anti-Stain Plate Mat"
91,Unranked(New),General Application,1.4,0,400.0,1pc Stainless Steel Whisk
92,Unranked(New),General Application,10.49,36,0,"Teckwe Electric Spin Scrubber,4 Replaceable Cleaning Heads,Cordless Electric Cleaning Brush For Power Shower Scrubber For Bathroom/Floor/Sink/Window"
93,#4 Best Sellers,in Other Styling Tools,1.9,0,0,Rejuvenate Yourself With This Portable Handheld Head Massage Comb - Perfect For Silicone Shampoo Brush!
94,Unranked(New),General Application,7.7,3,600.0,"1pc Mini Powerful Car Vacuum Cleaner, Portable Wireless Home Cleaning Robot, Vacuum & Blower 2in1, Suitable For Cleaning Home, Keyboard, Sofa And Wet & Dry Vacuuming With Vacuum Accessories And Cleaning Products Small Appliances"
95,#5 Best Sellers,in Other Kitchen Appliances,2.9,0,0,"1pc Stainless Steel Probe Digital Food Thermometer, Modern Black Liquid Crystal Digital Display With Instant Read Function, Kitchen Liquid/Oil Temperature Sensor For Cooking/Baking/Grilling/Meat/Rice"
96,Unranked(New),General Application,2.0,0,0,1pc Egg Beater Mixer For Cream And Egg
97,Unranked(New),General Application,1.28,61,20.0,"3pcs, Clothes Anti-Static Laundry Drying Balls, Reusable Softener, Wool Drying Balls, Washing Machine Accessories, DIY Felt Ball Pendant,Wool Dryer Ball -Softener Ball For Sensitive Skin - Cute Laundry Accessory For Anti-Static Cause Reduces Creases On Clothes, Save Drying Time Laundry Reusable"
98,#10 Best Sellers,in Men Shave & Hair Removal Appliances,1.26,48,0,Water Resistant Nose Hair Trimmer For Men And Women - Painless Ear And Facial Hair Removal With Dual Edge Blades And Mute Motor
99,Unranked(New),General Application,14.1,3,10.0,"New Ceramic Cooling Neck Hanging Fan, Super Cool Air Conditioning Neck Hanging Fan, Portable Bladeless Turbine Silent Charging Neck Hanging Fan (3000mAh) With Ultra-Long Endurance"
100,#9 Best Sellers,in Humidifier,6.25,36,0,1pc Crystal Shaped Usb Mini Portable Bedroom Humidifier With Large Spray And Rgb Colorful Light
101,#6 Best Sellers,in Major Appliances Parts,3.6,0,0,"Car Wash Towels Cleaning Cloths For Cars Interior Detailing, Super Absorbent, No Scratches, Lint-free, Thickened Washable Kitchen Towels For Home Cleaning"
102,Unranked(New),General Application,5.1,0,400.0,2pcs Black Stove Sealing Strip
103,Unranked(New),General Application,2.2,0,400.0,"Burger Press Hamburger Press Patty Maker Mold Perfectly Sized Burger Mold Rings Easy Release Hamburger Patty Press For BBQ Grill Accessories Kitchen Tools, DIY Hamburger Patty Press, Meat Press - Perfectly Shaped Burgers for BBQ and Grilling - Easy to Use Meat Mold"
104,Unranked(New),General Application,5.9,17,500.0,1pc Rechargeable Portable Hands-Free Cap Fan With 3 Speed Settings
105,Unranked(New),General Application,3.16,1,70.0,1pc 500mAh Lithium Battery Rechargeable Portable Handheld Mini Fan With Three Speeds And USB Charging Cable And Lanyard
106,Unranked(New),General Application,3.2,0,200.0,"1pc Air Fryer Cheat Sheet Magnets Cooking Guide Booklet, Air Fryer Magnetic Cheat Sheet Set Cooking Times Chart, Cookbooks Instant Air Fryer Accessories Oven Cooking Pot Temp Guide Kitchen Conversion"
107,#9 Best Sellers,in Wax Heaters,11.25,10,0,"1pc Wax Heater Kit For Hair Removal With Large Capacity Wax Warmer Machine, Unisex"
108,Unranked(New),General Application,4.5,0,60.0,1pc Household Multi-Functional Diamond And Tungsten Steel Grinding Knife Sharpener
109,Unranked(New),General Application,7.0,0,300.0,"1pc Silicone Faucet Mat, Upgraded Kitchen Sink Splash Guard, 5°Slope Anti-Slip Silicone Faucet Handle Drip Catcher Tray, 17""*5.9"" Sink Protector For Kitchen Bathroom & RV Accessories"
110,Unranked(New),General Application,5.6,2,400.0,1pc Rechargeable Handheld Portable Mini Coffee & Milk Frother Mixer & Egg Beater With Charging Cable
111,Unranked(New),General Application,5.06,51,200.0,"1 Moka Pot, Stove Top Espresso Maker And Coffee Machine, Suitable For Classic Italian And Coffee Brewing, Buffet Restaurant"
112,Unranked(New),General Application,28.7,14,10.0,"Makeup Bag With LED Mirror & Cosmetics Organizer, Ins Style Portable Travel Toiletry Bag With Adjustable LED Light, Large Capacity And Detachable, Rechargeable LED Mirror With Three Modes, High-End Design"
113,#1 Best Sellers,in Other Household Appliances,9.84,20,0,"1pc ABS Power Socket, Modern Black Socket For Home"
114,Unranked(New),General Application,3.27,58,10.0,"1PC Black Plastic Modern Clear Oil Sprayer 470ML , Oil Spray Bottle For Kitchen, For Camping Barbecue, Salad, Roasting, Cooking, Frying, Baking, Party"
115,Unranked(New),General Application,2.7,0,70.0,"1pc,The Air Fryer Baking Tray: Special Barbecue Tray,  Reusable Bowl, Anti-Stick Mat & Thickened Silicone Baking Tray - Perfect For Reheating & Baking!7.87**1.97inch"
