,rating,total_rating,price,next_month_bought,offer,brand,model_name,screen_size_inches,colour,hard_disk_size_GB,cpu_model,ram_GB,os,special_features,graphics_card
30,4.4,494,68490.0,0,39,Dell,Dell 15,15,Platinum Silver,512.0,Core i7 Family,16,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard, Memory Card Slot, Numeric Keypad",Integrated
31,3.0,510,14990.0,50,48,JIO,JioBook,11,Blue,64.0,Others,4,JioOS,"4G-LTE & Dual band WiFi, Data sharing with existing Jio Mobile number, Multi-Window Support, Premium SoftMaker Office2024 included for lifetime, Ultra-light and compact < 1kg, Universal compatibilitySee more",Integrated
34,3.8,104,35870.0,500,13,HP,G10,15,Grey,512.0,Ryzen 3,16,DOS,"Anti Glare Coating, HD Audio, Memory Card Slot, Numeric Keypad",Integrated
35,4.1,211,30990.0,200,26,ASUS,ASUS Vivobook,14,Mixed Black,512.0,Ryzen 3,8,Windows 11 Home,"60Hz refresh rate, Anti-glare display",Integrated
36,5.0,1,499990.0,0,20,Alienware,Alienware 16,16,Black,2000.0,Intel Core Ultra 9,64,Windows 11 Home,RGB lighting,Dedicated
37,3.6,33,26980.0,200,32,Lenovo,IdeaPad 1,15,Cloud Grey,512.0,Celeron,8,Windows 11 Home,"Anti Glare Coating, HD Audio, Memory Card Slot",Integrated
38,3.4,113,16990.0,50,57,FUTOPIA,APEX,14,Silver,512.0,Celeron N4020,8,Window Home 11,"Anti Glare Coating, HD Audio, Lightweight, Memory Card Slot",Integrated
39,4.1,121,62990.0,300,33,Samsung,Samsung Galaxy,15,Gray,512.0,Intel Core i5,16,Windows 11 Home,"Fingerprint Reader, HD Audio, Memory Card Slot, Numeric Keypad",Integrated
40,4.1,9,449990.0,0,12,ASUS,ROG Strix,18,Off Black,2000.0,Intel Core Ultra 9,64,Windows 11 Home,"1080P FHD IR Camera for Windows Hello, Anti-glare display, ROG Nebula HDR Display, ROG intelligent coolingSee more",Dedicated
41,3.8,16,229990.0,0,6,ASUS,ROG Strix,16,Eclipse Gray,1000.0,Intel Core Ultra 9,32,Windows 11 Home,"1080P FHD IR Camera for Windows Hello, Anti-glare display, ROG Nebula Display, ROG intelligent coolingSee more",Dedicated
42,4.0,2493,38000.0,0,37,Lenovo,IdeaPad,15,Cloud Grey,512.0,Ryzen 5,8,Windows 11 Home,HD Audio,Integrated
44,3.7,468,58490.0,50,26,Dell,Vostro 3530,15,Silver,512.0,Core i5,16,Windows 11 Home,10 Key Numeric Pad,Integrated
45,4.1,120,45049.0,100,37,Samsung,Samsung Galaxy,15,Gray,512.0,Intel Core i5,16,Windows 11 Home,"Fingerprint Reader, HD Audio, Memory Card Slot, Numeric Keypad",Integrated
46,3.8,115,46990.0,100,8,acer,Aspire Lite,15,Steel Gray,512.0,Core i5,16,Windows 11 Home,Thin,Integrated
47,4.2,1293,48490.0,100,21,HP,HP Laptop,39,Ryzen 7-7th,512.0,Ryzen 7,16,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard",Integrated
48,0.0,0,99990.0,0,14,HP,HP Laptop,14,Glacier silver,1000.0,Intel Core 7,16,Windows 11 Home,"Backlit Keyboard, Micro-Edge Display",Integrated
49,3.9,754,53990.0,0,16,HP,HP Laptop,15,Natural Silver,512.0,Core i5,16,Windows 11 Home,"Backlit Keyboard, Micro-Edge Display",Integrated
50,3.7,21,48490.0,0,24,Dell,Unknown,15,Platinum Silver,,Unknown,0,Unknown,fhd Display,Unknown
51,4.0,39,46990.0,100,43,Lenovo,ThinkBook 16,16,R7 7735HS,512.0,Ryzen 7,16,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard, Fingerprint Reader, HD Audio, Lightweight",Integrated
52,3.8,42,49990.0,0,31,ASUS,ASUS Vivobook,14,Quiet Blue,512.0,Intel Core 5,16,Windows 11 Home,"720p HD camera with privacy shutter, Anti-glare display, Backlit Keyboard, Fingerprint Reader",Integrated
53,3.5,8,89990.0,0,19,HP,HP Laptop,39,Performance blue,512.0,Intel Core 7,16,Windows 11 Home,"Anti Glare Coating, Micro Edge Display",Dedicated
54,3.9,441,34990.0,0,33,ASUS,ASUS Vivobook,14,Corei3-13 |,512.0,Core i3,8,Windows 11 Home,"60Hz refresh rate, Anti-glare display",Integrated
55,3.3,32,65990.0,0,28,ASUS,ASUS Vivobook,16,Cool Silver,512.0,Intel Core i7,16,Windows 11 Home,"144Hz refresh rate, 45% NTSC color gamut, 86% Screen-to-body ratio, Anti-glare display, TÜV Rheinland-certifiedSee more",Dedicated
56,3.8,303,72990.0,50,27,HP,HP Laptop,35,Silver,1000.0,Core i5,16,Windows 11 Home,"Backlit Keyboard, Edge to edge, FHD, Fingerprint Reader, Micro-Edge Display",Integrated
57,3.5,63,52990.0,0,0,Lenovo,ThinkBook 16,16,R7 7735HS,512.0,Ryzen 7,16,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard, Fingerprint Reader, HD Audio, Lightweight",Integrated
58,3.9,663,52990.0,0,22,acer,Aspire Lite,15,Silver,512.0,Intel Core i7,16,Windows 11 Home,Backlit Keyboard,Integrated
59,4.0,318,147990.0,0,12,HP,HP Gaming,16,Shadow Black,1000.0,Ryzen 9,24,Windows 11 Home,RGB Backlit,Dedicated
60,0.0,0,72433.0,0,39,Lenovo,ThinkPad E14,14,Black,,Intel Core Ultra 5,16,DOS,Unknown,Integrated
61,4.2,92,34990.0,100,21,ASUS,ASUS Vivobook,15,Quiet Blue,512.0,Core i3,16,Windows 11 Home,"45% NTSC color gamut, Anti-glare display",Integrated
62,3.8,217,38490.0,200,49,Dell,Vostro 3530,15,Carbon Grey,512.0,Core i3,16,Windows 11 Home,Spill Resistance Keyboard,Integrated
63,4.1,21,145990.0,0,22,Lenovo,LOQ,15,Luna Grey,1000.0,Intel Core i7,16,Windows 11 Home,"Backlit Keyboard, HD Audio",Dedicated
64,4.0,306,32870.0,500,31,Lenovo,Lenovo V15,15,Gray,512.0,Ryzen 5,16,Windows 11,HD Audio,Integrated
65,3.7,20,72990.0,0,32,Samsung,Samsung Galaxy,15,Gray,512.0,Intel Core 5,16,Windows 11 Home,"Fingerprint Reader, HD Audio, Memory Card Slot, Numeric Keypad",Integrated
68,0.0,0,114990.0,0,26,Lenovo,Yoga Slim,14,Luna Grey,1000.0,Intel Core Ultra 7,32,Windows 11 Home,"Anti Glare Coating, Backlit Keyboard, HD Audio",Integrated
70,2.4,2,484990.0,0,0,MSI,Titan 18,46,Core Black,6000.0,Intel Core Ultra 9,96,Windows 11 Home,"Advanced Cooling System, AI-Enabled Processor, MiniLED Display, Cherry Mechanical Per-Key RGB Gaming KeyboardSee more",Dedicated
71,4.0,1981,29990.0,200,29,HP,HP Laptop,39,Natural Silver,512.0,Ryzen 3,8,Windows 11 Home,Anti Glare Coating,Integrated
72,3.6,5,103990.0,50,20,HP,HP Gaming,39,Mica Silver,1000.0,Core i7,24,Windows 11 Home,"Anti Glare Coating, RGB Backlit",Dedicated
79,3.9,663,52990.0,50,27,acer,Aspire Lite,15,Silver,512.0,Core i5-12450H,16,Windows 11 Home,"Backlit Keyboard, Lightweight, Thin",Integrated
80,4.1,563,55990.0,200,24,ASUS,ASUS Vivobook,15,Office 2024_Blue,512.0,Core i5,16,Windows 11 Home,"60Hz refresh rate, Anti-glare display",Integrated
